cohort,contrast,negative_group,positive_group,n_negative,n_positive,negative_median_cells_per_g,negative_q1_cells_per_g,negative_q3_cells_per_g,positive_median_cells_per_g,positive_q1_cells_per_g,positive_q3_cells_per_g,mann_whitney_p,rank_biserial_positive_minus_negative,direct_load_auc,bootstrap_auc_ci95_low,bootstrap_auc_ci95_high,bootstrap_replicates,seed,analysis_status
LCPM,CRC vs CTL,CTL,CRC,205,47,91555555555.9999,52941176471.00001,121000000000.0002,86094674555.99994,57179687161.500015,120999999999.99995,0.7250862592093942,-0.03300467047223665,0.4834976647638817,0.39574468085106385,0.5724455111572392,10000,531,post hoc exploratory sensitivity analysis
MetaCardis,IHD372 vs MMC372,MMC372,IHD372,366,298,110341357156.5,73833732057.75,152310924369.75,117674831381.0,89786477765.75,161192316864.75,0.015245791795784213,0.10939964059119078,0.5546998202955954,0.5103677293064877,0.5992285775846261,10000,531,post hoc exploratory sensitivity analysis
